epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.74564,0.97715,4.19943,1.35038,0.00301,0.63889,0.05352,0.04418,0.53955,4.46514,0.99739,0.000246815,0.000246815,0.000246815
2,6.96794,0.77786,3.99585,1.18265,0.00338,0.66667,0.07242,0.05617,0.61463,4.47995,1.05222,0.000519289,0.000519289,0.000519289
3,8.1833,0.87478,3.71885,1.19939,0.00389,0.66667,0.07644,0.05364,0.65293,4.52264,1.14955,0.000786266,0.000786266,0.000786266
4,9.38236,0.92585,3.39905,1.26787,0.16989,0.72222,0.16485,0.12084,0.72932,4.45358,1.24343,0.00080826,0.00080826,0.00080826
5,10.6058,0.97463,3.16513,1.34077,0.16998,0.72222,0.31507,0.22875,0.7961,4.38182,1.2449,0.000800013,0.000800013,0.000800013
6,11.8352,1.02142,2.94199,1.35116,0.00331,0.625,0.16838,0.14306,0.90263,4.45355,1.25129,0.000791767,0.000791767,0.000791767
7,13.0462,1.0738,2.71875,1.34545,0.46422,0.31944,0.34873,0.28565,0.93003,4.11676,1.31908,0.00078352,0.00078352,0.00078352
8,14.2741,1.00366,2.61491,1.34356,0.49809,0.47659,0.6689,0.51594,0.82497,3.74949,1.20869,0.000775273,0.000775273,0.000775273
9,15.4695,1.00014,2.344,1.32691,0.74051,0.58844,0.74008,0.54788,0.79423,3.44609,1.20874,0.000767026,0.000767026,0.000767026
10,16.7234,1.0425,2.17099,1.35505,0.7366,0.38889,0.49595,0.39064,0.77906,3.44608,1.18014,0.00075878,0.00075878,0.00075878
11,17.9428,0.95842,2.087,1.29779,0.64532,0.625,0.69703,0.49595,0.73296,3.17742,1.08795,0.000750533,0.000750533,0.000750533
12,19.1586,0.93477,1.9247,1.23847,0.71581,0.60077,0.61754,0.47406,0.69863,3.08541,1.08152,0.000742286,0.000742286,0.000742286
13,20.3566,0.88559,1.86277,1.22527,0.66422,0.50012,0.56608,0.41099,0.83686,2.87969,1.19806,0.00073404,0.00073404,0.00073404
14,21.5584,0.90279,1.74386,1.22228,0.62001,0.63524,0.69317,0.56817,0.782,2.70821,1.17381,0.000725793,0.000725793,0.000725793
15,22.8084,0.81283,1.52201,1.12652,0.79959,0.82057,0.94238,0.74319,0.70756,2.98204,1.07433,0.000717546,0.000717546,0.000717546
16,24.0631,0.85193,1.53942,1.17487,0.70861,0.64043,0.76712,0.60552,0.96722,3.2947,1.2939,0.000709299,0.000709299,0.000709299
17,25.2755,0.84469,1.53834,1.2179,0.69029,0.80526,0.86142,0.65849,0.91209,2.88198,1.21061,0.000701053,0.000701053,0.000701053
18,26.4697,0.84807,1.50313,1.1898,0.74801,0.79349,0.91639,0.72565,0.78166,2.39268,1.21155,0.000692806,0.000692806,0.000692806
19,27.6577,0.82301,1.41313,1.15242,0.77835,0.79467,0.90364,0.71873,0.6532,2.03049,1.04545,0.000684559,0.000684559,0.000684559
20,28.8469,0.80358,1.39922,1.16005,0.82356,0.83492,0.95389,0.79232,0.61115,1.80353,1.01025,0.000676313,0.000676313,0.000676313
21,30.0604,0.76689,1.37962,1.13227,0.89469,0.79781,0.92344,0.76733,0.69315,1.53764,1.12619,0.000668066,0.000668066,0.000668066
22,31.2604,0.72858,1.21116,1.10228,0.895,0.9415,0.98,0.78387,0.64081,1.43262,1.01797,0.000659819,0.000659819,0.000659819
23,32.4659,0.78604,1.27417,1.1558,0.97079,0.9311,0.96833,0.80039,0.63498,1.31677,1.03335,0.000651573,0.000651573,0.000651573
24,33.6898,0.75058,1.27232,1.11297,0.93826,0.86598,0.96833,0.82384,0.62172,1.49829,1.03017,0.000643326,0.000643326,0.000643326
25,34.9081,0.7203,1.2032,1.09142,0.89397,0.89467,0.96833,0.84098,0.59667,1.48039,0.99214,0.000635079,0.000635079,0.000635079
26,36.1231,0.72576,1.24204,1.08663,0.84339,0.90278,0.95378,0.79427,0.63102,1.47519,1.0317,0.000626832,0.000626832,0.000626832
27,37.3211,0.73545,1.19915,1.10308,0.84237,0.8905,0.96822,0.83331,0.54384,1.67234,0.95103,0.000618586,0.000618586,0.000618586
28,38.4772,0.718,1.15486,1.1325,0.79731,0.7996,0.83578,0.72371,0.62736,2.24415,0.97543,0.000610339,0.000610339,0.000610339
29,39.6415,0.68649,1.21343,1.07858,0.82792,0.70375,0.80229,0.65108,0.77462,2.569,1.10714,0.000602092,0.000602092,0.000602092
30,40.8302,0.7223,1.25081,1.12713,0.75138,0.77522,0.89572,0.78246,0.57342,1.89993,0.95059,0.000593846,0.000593846,0.000593846
