epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.03316,1.17622,4.66429,1.39784,0.00252,0.55844,0.07689,0.05639,0.85305,4.8391,1.21038,0.000192308,0.000192308,0.000192308
2,9.74811,1.01902,4.38286,1.25885,0.00924,0.71429,0.17955,0.14325,0.79062,4.73942,1.19133,0.000396675,0.000396675,0.000396675
3,11.3811,0.98857,3.90536,1.29302,0.00375,0.80519,0.29261,0.23205,0.94455,4.75565,1.30412,0.000596917,0.000596917,0.000596917
4,13.5018,1.03276,3.60408,1.30143,0.03275,0.74242,0.34169,0.25554,0.99184,4.60396,1.28769,0.000606437,0.000606437,0.000606437
5,15.8371,1.06652,3.31508,1.33533,0.86013,0.07796,0.35987,0.27187,1.02552,4.37215,1.33131,0.00060025,0.00060025,0.00060025
6,18.6706,1.08926,2.92168,1.36189,0.89718,0.12103,0.58814,0.45387,0.94227,4.16244,1.32448,0.000594062,0.000594062,0.000594062
7,20.9515,1.14211,2.74009,1.38257,0.79183,0.39179,0.53208,0.35681,1.12534,4.03696,1.51615,0.000587875,0.000587875,0.000587875
8,22.8807,1.04362,2.50179,1.31477,0.62462,0.57144,0.58916,0.37271,1.26175,3.88262,1.59511,0.000581687,0.000581687,0.000581687
9,24.7695,1.02105,2.38163,1.29333,0.64138,0.55094,0.61555,0.42564,1.10439,3.04395,1.62809,0.0005755,0.0005755,0.0005755
10,26.772,1.03387,2.11469,1.31679,0.67493,0.72592,0.71698,0.52907,1.10805,2.83905,1.54488,0.000569313,0.000569313,0.000569313
11,28.8356,0.97659,1.97061,1.24381,0.77944,0.71731,0.77054,0.60862,0.96481,2.49974,1.26068,0.000563125,0.000563125,0.000563125
12,30.8956,0.92396,1.89411,1.22653,0.76377,0.70181,0.80061,0.60065,1.00286,2.59642,1.32177,0.000556938,0.000556938,0.000556938
13,33.0067,0.92054,1.70025,1.22345,0.57114,0.7358,0.75002,0.56008,0.94478,2.71298,1.29623,0.00055075,0.00055075,0.00055075
14,34.9942,0.88906,1.6906,1.19232,0.60215,0.81547,0.79453,0.6307,0.87287,2.46276,1.25172,0.000544563,0.000544563,0.000544563
