epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,57.0223,0.73084,0.96693,1.05997,0.96484,0.96159,0.96923,0.85432,0.51441,0.90654,0.9734,0.000494885,0.000494885,0.000494885
43,58.2604,0.65925,0.88103,1.05084,0.98093,0.92767,0.97367,0.87549,0.50716,0.87516,0.96094,0.000486639,0.000486639,0.000486639
44,59.5135,0.63879,0.93578,1.06424,0.96456,0.97222,0.96833,0.86854,0.50382,0.87688,0.94654,0.000478392,0.000478392,0.000478392
45,60.7515,0.61333,0.86485,1.02764,0.96199,0.97222,0.97005,0.89048,0.49149,0.89646,0.9453,0.000470145,0.000470145,0.000470145
46,62.0393,0.63228,0.86477,1.03978,0.95606,0.97222,0.96833,0.85647,0.49845,0.93102,0.92807,0.000461898,0.000461898,0.000461898
47,63.2727,0.59623,0.82286,1.00612,0.94664,0.97222,0.96833,0.86824,0.48035,0.84989,0.92105,0.000453652,0.000453652,0.000453652
48,64.5194,0.62895,0.90859,1.03172,0.98362,0.97222,0.96833,0.86385,0.50374,0.79882,0.94294,0.000445405,0.000445405,0.000445405
49,65.7442,0.69834,0.91448,1.11934,0.98203,0.97222,0.97119,0.88649,0.4693,0.79532,0.92703,0.000437158,0.000437158,0.000437158
50,67.0289,0.64948,0.84679,1.02981,0.98307,0.97222,0.96911,0.88061,0.47718,0.82384,0.92796,0.000428912,0.000428912,0.000428912
51,68.2805,0.64522,0.84993,1.03189,0.97388,0.97222,0.96932,0.89137,0.48822,0.81668,0.94549,0.000420665,0.000420665,0.000420665
52,69.5398,0.67051,0.89778,1.03389,0.98282,0.97222,0.97214,0.9003,0.4773,0.76177,0.9508,0.000412418,0.000412418,0.000412418
53,70.8119,0.62713,0.90957,1.05444,0.97523,0.97222,0.97135,0.89288,0.45075,0.74454,0.93101,0.000404172,0.000404172,0.000404172
54,72.0608,0.6309,0.80594,1.03608,0.96848,0.972,0.96861,0.87585,0.49665,0.79608,0.92241,0.000395925,0.000395925,0.000395925
55,73.2902,0.5922,0.79658,1.01351,0.9634,0.97222,0.96833,0.88392,0.5033,0.86221,0.91969,0.000387678,0.000387678,0.000387678
56,74.5475,0.62095,0.78553,1.03766,0.96294,0.94265,0.96853,0.8653,0.50455,0.84455,0.94918,0.000379431,0.000379431,0.000379431
57,75.8076,0.64927,0.87488,1.05752,0.96483,0.92836,0.96031,0.86536,0.50912,0.83025,0.95362,0.000371185,0.000371185,0.000371185
58,77.0671,0.60443,0.82498,1.01918,0.9744,0.90606,0.96971,0.85048,0.54568,0.8372,0.97042,0.000362938,0.000362938,0.000362938
59,78.3037,0.61252,0.80131,1.02295,0.9765,0.90482,0.96919,0.8731,0.52264,0.85684,0.95765,0.000354691,0.000354691,0.000354691
60,79.5593,0.56791,0.75705,1.01542,0.92254,0.96473,0.96872,0.87051,0.54072,0.82969,0.97927,0.000346445,0.000346445,0.000346445
61,80.8187,0.62497,0.8059,1.0396,0.95661,0.96438,0.96881,0.85865,0.54194,0.79197,1.00006,0.000338198,0.000338198,0.000338198
62,82.0686,0.59731,0.77667,1.00341,0.97267,0.96805,0.9686,0.85505,0.5052,0.74296,0.97843,0.000329951,0.000329951,0.000329951
63,83.2906,0.60716,0.76934,1.01559,0.98303,0.97222,0.96863,0.86976,0.488,0.71344,0.97997,0.000321705,0.000321705,0.000321705
64,84.5408,0.62833,0.74558,1.0455,0.98286,0.97222,0.96833,0.8701,0.47934,0.7211,0.97176,0.000313458,0.000313458,0.000313458
