epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.2441,1.30581,1.92197,1.6214,0.96779,0.45232,0.61435,0.36055,1.43436,2.50368,1.8996,0.0005941,0.0005941,0.0005941
43,43.1344,1.2644,1.94178,1.58037,0.86623,0.47222,0.50732,0.33644,1.48037,2.45061,1.94426,0.0005842,0.0005842,0.0005842
44,43.9731,1.35763,1.9915,1.61553,0.97732,0.48273,0.54235,0.36011,1.47428,2.3966,1.92058,0.0005743,0.0005743,0.0005743
45,44.9078,1.28831,1.91819,1.61942,0.93941,0.43508,0.51471,0.37432,1.50298,2.28838,1.88025,0.0005644,0.0005644,0.0005644
46,45.7689,1.33773,1.96097,1.56383,0.97531,0.44289,0.45994,0.36186,1.68837,2.25705,1.96403,0.0005545,0.0005545,0.0005545
47,46.6193,1.16918,1.84324,1.52781,0.98563,0.44444,0.45291,0.36723,1.66877,2.3122,1.92869,0.0005446,0.0005446,0.0005446
48,47.4961,1.15572,1.8397,1.51032,0.9893,0.44444,0.50467,0.3779,1.60381,2.21303,1.87657,0.0005347,0.0005347,0.0005347
49,48.3586,1.13372,1.83664,1.4617,0.48583,0.875,0.71888,0.45555,1.29812,2.10855,1.67658,0.0005248,0.0005248,0.0005248
50,49.2529,1.17945,1.7721,1.45711,0.54006,0.86111,0.73836,0.48324,1.29142,2.12967,1.67028,0.0005149,0.0005149,0.0005149
51,50.1054,1.1322,1.77133,1.44797,0.58897,0.86111,0.74704,0.49117,1.31335,2.14455,1.64121,0.000505,0.000505,0.000505
52,50.9632,1.11963,1.69973,1.46476,0.7031,0.74953,0.70839,0.48744,1.2742,2.16166,1.58843,0.0004951,0.0004951,0.0004951
53,51.8255,1.04824,1.62816,1.38363,0.60082,0.69334,0.73091,0.51688,1.28427,2.11924,1.61022,0.0004852,0.0004852,0.0004852
54,52.6863,1.19854,1.77858,1.47071,0.61422,0.70886,0.77588,0.51348,1.29281,2.19621,1.64692,0.0004753,0.0004753,0.0004753
55,53.5463,1.09537,1.67934,1.4072,0.75734,0.625,0.74959,0.50669,1.32844,2.26598,1.70888,0.0004654,0.0004654,0.0004654
56,54.4006,1.208,1.83023,1.50055,0.66451,0.69444,0.76507,0.47551,1.32383,2.32206,1.73173,0.0004555,0.0004555,0.0004555
57,55.2624,1.12333,1.68786,1.47693,0.61575,0.81183,0.77158,0.49504,1.27739,2.09259,1.74215,0.0004456,0.0004456,0.0004456
58,56.1109,1.23321,1.72114,1.52476,0.76406,0.82991,0.78917,0.50155,1.24825,1.9292,1.70265,0.0004357,0.0004357,0.0004357
59,56.9766,1.07693,1.73111,1.40935,0.64588,0.84549,0.76958,0.51038,1.25422,1.90321,1.72846,0.0004258,0.0004258,0.0004258
60,57.8555,1.0734,1.5896,1.38594,0.94556,0.57853,0.71347,0.4752,1.20943,1.91367,1.65908,0.0004159,0.0004159,0.0004159
61,58.7265,1.10335,1.51866,1.42001,0.70633,0.70833,0.68825,0.48055,1.24319,1.81438,1.64543,0.000406,0.000406,0.000406
62,59.5748,1.04184,1.49953,1.3804,0.82003,0.68374,0.7206,0.47751,1.33785,1.8045,1.7102,0.0003961,0.0003961,0.0003961
63,60.4382,1.05057,1.54291,1.34266,0.79069,0.72048,0.72933,0.47441,1.35034,1.7804,1.73394,0.0003862,0.0003862,0.0003862
64,61.2981,1.10601,1.5195,1.41912,0.78462,0.71807,0.72589,0.46978,1.34141,1.76918,1.74071,0.0003763,0.0003763,0.0003763
65,62.1592,1.09671,1.63059,1.38692,0.67333,0.58333,0.66628,0.46926,1.30507,1.71343,1.72756,0.0003664,0.0003664,0.0003664
66,63.0222,1.02198,1.4939,1.35593,0.76463,0.625,0.67755,0.46493,1.31497,1.71616,1.7203,0.0003565,0.0003565,0.0003565
67,63.8831,1.06361,1.49532,1.40552,0.78104,0.625,0.71285,0.4776,1.2721,1.74668,1.67287,0.0003466,0.0003466,0.0003466
68,64.7362,1.05969,1.56574,1.39273,0.84258,0.625,0.71335,0.48127,1.14208,1.77004,1.56797,0.0003367,0.0003367,0.0003367
69,65.6172,1.11812,1.59073,1.43195,0.80581,0.625,0.70154,0.48067,1.15695,1.73648,1.56823,0.0003268,0.0003268,0.0003268
70,66.4694,0.98127,1.54342,1.38415,0.78449,0.625,0.70312,0.49183,1.18672,1.74402,1.57508,0.0003169,0.0003169,0.0003169
71,67.3336,1.19488,1.5872,1.47105,0.76077,0.625,0.70347,0.47274,1.18699,1.78047,1.56883,0.000307,0.000307,0.000307
72,68.2032,1.08539,1.59672,1.4211,0.6931,0.625,0.65964,0.46991,1.19717,1.79226,1.56542,0.0002971,0.0002971,0.0002971
73,69.0887,1.04231,1.44603,1.33031,0.71026,0.65725,0.65139,0.48079,1.13136,1.74738,1.5402,0.0002872,0.0002872,0.0002872
74,69.9337,1.0635,1.44266,1.37789,0.78912,0.74613,0.70398,0.48746,1.12782,1.71611,1.53694,0.0002773,0.0002773,0.0002773
75,70.7833,1.05826,1.58006,1.40156,0.74345,0.74884,0.6923,0.49203,1.16221,1.75128,1.55458,0.0002674,0.0002674,0.0002674
76,71.6829,0.94219,1.41309,1.32804,0.70369,0.74852,0.718,0.49806,1.16461,1.75036,1.56736,0.0002575,0.0002575,0.0002575
77,72.5405,1.01225,1.41466,1.34442,0.62561,0.77778,0.66711,0.48728,1.21993,1.79596,1.63543,0.0002476,0.0002476,0.0002476
78,73.4001,0.99924,1.4024,1.40823,0.5969,0.81944,0.74405,0.4989,1.23589,1.78619,1.66571,0.0002377,0.0002377,0.0002377
79,74.241,0.96171,1.42859,1.32706,0.78153,0.75233,0.76875,0.50623,1.24935,1.79537,1.69218,0.0002278,0.0002278,0.0002278
80,75.0787,0.93235,1.41762,1.31116,0.77757,0.70331,0.76096,0.52211,1.23659,1.78465,1.68182,0.0002179,0.0002179,0.0002179
81,75.9525,0.97981,1.32053,1.33232,0.89657,0.6839,0.78088,0.5419,1.19101,1.69185,1.6555,0.000208,0.000208,0.000208
82,76.8235,0.99898,1.46222,1.33753,0.96088,0.6628,0.8024,0.54687,1.19658,1.68691,1.67846,0.0001981,0.0001981,0.0001981
83,77.6865,0.93705,1.39031,1.28964,0.88315,0.63325,0.7423,0.54436,1.1786,1.68715,1.67501,0.0001882,0.0001882,0.0001882
84,78.5414,0.97784,1.33745,1.34485,0.69964,0.77778,0.73172,0.52859,1.14715,1.68619,1.64274,0.0001783,0.0001783,0.0001783
